category,state,jobs_retained,total_loan_amount
Full-Service Restaurants,CA,163104,814717050.17
Offices of Dentists,CA,84752,796053717.25
Offices of Physicians (except Mental Health Specialists),CA,54492,593959760.13
Full-Service Restaurants,TX,123023,487940835.24
Offices of Lawyers,CA,38364,487618332.99
Full-Service Restaurants,NY,92060,466015833.34
Offices of Physicians (except Mental Health Specialists),TX,50296,465082280.18
Full-Service Restaurants,FL,96660,454416459.48
Offices of Dentists,TX,49667,424663868.48
Offices of Physicians (except Mental Health Specialists),FL,31885,405657540.98
Offices of Lawyers,FL,30574,361242320.06
Limited-Service Restaurants,CA,81855,343377468.55
Offices of Physicians (except Mental Health Specialists),NY,28531,327028874.68
Offices of Lawyers,TX,34354,324254154.86
All Other Miscellaneous Store Retailers (except Tobacco Stores),CA,43882,306121706.57
Offices of Lawyers,NY,18907,304422573.53
Offices of Real Estate Agents and Brokers,CA,28093,297015498.71
Offices of Dentists,FL,27314,293340401.81
Offices of Dentists,NY,26718,278975345.48
Full-Service Restaurants,IL,73244,277788235.78
Insurance Agencies and Brokerages,CA,23367,240155894.49
New Single-Family Housing Construction (except For-Sale Builders),CA,22482,230713802.07
Full-Service Restaurants,PA,55968,228046976.06
Religious Organizations,TX,51209,227816514.01
Limited-Service Restaurants,TX,60047,222653660.87
"All Other Professional, Scientific, and Technical Services",CA,23570,222617434.57
Religious Organizations,CA,35500,221753718.07
Full-Service Restaurants,NC,50236,219557289.67
Full-Service Restaurants,GA,50618,212060552.68
Full-Service Restaurants,OH,58028,207843553.00
Offices of Real Estate Agents and Brokers,FL,18922,204269968.53
Full-Service Restaurants,MA,39317,202497156.54
Offices of Dentists,IL,21578,201431236.25
Insurance Agencies and Brokerages,TX,22370,201411730.86
Limited-Service Restaurants,NY,37594,193979488.77
Full-Service Restaurants,VA,33097,193042373.88
Insurance Agencies and Brokerages,FL,17248,191737909.70
Limited-Service Restaurants,FL,46505,185786208.02
Full-Service Restaurants,MI,46008,182863075.37
Full-Service Restaurants,WA,28616,179687726.95
Full-Service Restaurants,NJ,37018,179553865.30
All Other Personal Services,FL,14483,178756956.55
"Plumbing, Heating, and Air-Conditioning Contractors",CA,19129,178377185.41
General Automotive Repair,CA,20990,176121644.91
Offices of Real Estate Agents and Brokers,TX,19310,175471178.42
Offices of Lawyers,IL,13110,168758370.68
Offices of Dentists,PA,15375,168506524.10
Hotels (except Casino Hotels) and Motels,TX,37156,163124514.76
Offices of Dentists,OH,15988,161358059.12
Full-Service Restaurants,CO,27989,160740620.54
Religious Organizations,FL,25324,160734559.75
Offices of Dentists,WA,11824,159765555.00
Offices of Physicians (except Mental Health Specialists),NJ,13291,159190966.02
Other Management Consulting Services,CA,16799,158453381.14
Offices of Dentists,MI,15921,158447365.40
All Other Personal Services,CA,19600,156662621.18
"Plumbing, Heating, and Air-Conditioning Contractors",TX,18511,155915901.16
New Single-Family Housing Construction (except For-Sale Builders),FL,13658,155863270.57
All Other Miscellaneous Store Retailers (except Tobacco Stores),FL,21433,155295658.58
Offices of Dentists,NJ,14624,154012296.18
Hotels (except Casino Hotels) and Motels,CA,29856,152796833.26
Offices of Dentists,NC,13085,152301722.83
"Plumbing, Heating, and Air-Conditioning Contractors",FL,15908,149878706.28
Residential Remodelers,CA,15806,149675261.06
Offices of Certified Public Accountants,CA,14231,149275480.37
Offices of Dentists,GA,14353,146943544.91
Religious Organizations,NY,21576,144854575.26
"All Other Professional, Scientific, and Technical Services",FL,13354,142889939.48
Insurance Agencies and Brokerages,NY,11634,141488961.37
Administrative Management and General Management Consulting Services,CA,13206,140156915.37
General Automotive Repair,TX,17801,137923338.33
Electrical Contractors and Other Wiring Installation Contractors,CA,13010,137164746.72
Offices of Physicians (except Mental Health Specialists),GA,12236,136513745.38
Beauty Salons,CA,22689,136337471.05
Offices of Real Estate Agents and Brokers,NY,11445,135838843.01
Full-Service Restaurants,TN,28965,132930692.60
Limited-Service Restaurants,IL,35679,132117325.71
All Other Specialty Trade Contractors,CA,16830,131893251.44
All Other Business Support Services,PA,3570,131630513.15
Full-Service Restaurants,MO,32185,130096827.31
Child Day Care Services,TX,31719,129604194.06
All Other Miscellaneous Store Retailers (except Tobacco Stores),TX,19293,128630325.97
Full-Service Restaurants,WI,37603,128293836.24
"All Other Professional, Scientific, and Technical Services",TX,14549,127938674.58
Offices of Dentists,VA,9729,127134832.07
Support Activities for Oil and Gas Operations,TX,10919,126493235.72
Offices of Lawyers,NJ,8881,126242681.18
All Other Specialty Trade Contractors,FL,15179,125482303.51
Offices of Lawyers,GA,10940,124874861.35
Engineering Services,CA,10037,124398103.31
Other Activities Related to Real Estate,CA,9865,123445947.06
Full-Service Restaurants,MN,31416,123401674.18
Religious Organizations,PA,20822,122771227.65
Offices of Dentists,MA,10402,122457755.57
Offices of Lawyers,PA,8693,122355245.36
All Other Support Services,CA,18620,122226359.67
Offices of Physicians (except Mental Health Specialists),IL,11147,120269535.15
"Plumbing, Heating, and Air-Conditioning Contractors",NY,10982,119977675.19
Full-Service Restaurants,OR,22507,119925439.75
Commercial and Institutional Building Construction,CA,12209,119569043.20
Full-Service Restaurants,SC,29160,119314674.08
Offices of Physicians (except Mental Health Specialists),MI,11389,118321645.01
Custom Computer Programming Services,CA,8444,118230071.79
Religious Organizations,IL,22842,117189791.66
Offices of Dentists,CO,10520,116715657.66
